dataset,split,column,row_count,null_count,blank_string_count,total_missing,missing_rate_percent
fpb,full,sentence,4846,0,0,0,0.0
fpb,full,label,4846,0,0,0,0.0
fiqa_sa,train,_id,822,0,0,0,0.0
fiqa_sa,train,sentence,822,0,0,0,0.0
fiqa_sa,train,target,822,0,0,0,0.0
fiqa_sa,train,aspect,822,0,0,0,0.0
fiqa_sa,train,score,822,0,0,0,0.0
fiqa_sa,train,type,822,0,0,0,0.0
fiqa_sa,valid,_id,117,0,0,0,0.0
fiqa_sa,valid,sentence,117,0,0,0,0.0
fiqa_sa,valid,target,117,0,0,0,0.0
fiqa_sa,valid,aspect,117,0,0,0,0.0
fiqa_sa,valid,score,117,0,0,0,0.0
fiqa_sa,valid,type,117,0,0,0,0.0
fiqa_sa,test,_id,234,0,0,0,0.0
fiqa_sa,test,sentence,234,0,0,0,0.0
fiqa_sa,test,target,234,0,0,0,0.0
fiqa_sa,test,aspect,234,0,0,0,0.0
fiqa_sa,test,score,234,0,0,0,0.0
fiqa_sa,test,type,234,0,0,0,0.0
finqa,train,pre_text,6251,0,0,0,0.0
finqa,train,post_text,6251,0,0,0,0.0
finqa,train,filename,6251,0,0,0,0.0
finqa,train,table_ori,6251,0,0,0,0.0
finqa,train,table,6251,0,0,0,0.0
finqa,train,qa,6251,0,0,0,0.0
finqa,train,id,6251,0,0,0,0.0
finqa,train,table_retrieved,6251,0,0,0,0.0
finqa,train,text_retrieved,6251,0,0,0,0.0
finqa,train,table_retrieved_all,6251,0,0,0,0.0
finqa,train,text_retrieved_all,6251,0,0,0,0.0
finqa,dev,pre_text,883,0,0,0,0.0
finqa,dev,post_text,883,0,0,0,0.0
finqa,dev,filename,883,0,0,0,0.0
finqa,dev,table_ori,883,0,0,0,0.0
finqa,dev,table,883,0,0,0,0.0
finqa,dev,qa,883,0,0,0,0.0
finqa,dev,id,883,0,0,0,0.0
finqa,dev,table_retrieved,883,0,0,0,0.0
finqa,dev,text_retrieved,883,0,0,0,0.0
finqa,dev,table_retrieved_all,883,0,0,0,0.0
finqa,dev,text_retrieved_all,883,0,0,0,0.0
finqa,test,pre_text,1147,0,0,0,0.0
finqa,test,post_text,1147,0,0,0,0.0
finqa,test,filename,1147,0,0,0,0.0
finqa,test,table_ori,1147,0,0,0,0.0
finqa,test,table,1147,0,0,0,0.0
finqa,test,qa,1147,0,0,0,0.0
finqa,test,id,1147,0,0,0,0.0
finqa,test,table_retrieved,1147,0,0,0,0.0
finqa,test,text_retrieved,1147,0,0,0,0.0
finqa,test,table_retrieved_all,1147,0,0,0,0.0
finqa,test,text_retrieved_all,1147,0,0,0,0.0
financial_mmlu_ko,test,conversation_id,455,0,0,0,0.0
financial_mmlu_ko,test,conversations,455,0,0,0,0.0
